[E-582] matching-i |T|=25000 nodes=5001/5001/5001 bank=33490.458 start(tightened)=33490.458 T0=2.0 cool=0.9999 tabuK=200 fill_every=20000 seed=7
  it=20000 t=0s T=0.271 cur~33471.2 tightened=33473.515 best=33490.458 acc=6 worse=6
  it=40000 t=1s T=0.050 cur~33471.3 tightened=33472.679 best=33490.458 acc=7 worse=6
  it=60000 t=1s T=0.050 cur~33471.3 tightened=33472.679 best=33490.458 acc=7 worse=6
  it=80000 t=1s T=0.050 cur~33474.9 tightened=33476.252 best=33490.458 acc=8 worse=6
  it=100000 t=2s T=0.050 cur~33475.8 tightened=33478.980 best=33490.458 acc=9 worse=6
  it=120000 t=2s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=10 worse=6
  it=140000 t=2s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=10 worse=6
  it=160000 t=3s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=10 worse=6
  it=180000 t=3s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=10 worse=6
  it=200000 t=4s T=0.050 cur~33477.8 tightened=33480.760 best=33490.458 acc=11 worse=7
  it=220000 t=4s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=12 worse=7
  it=240000 t=4s T=0.050 cur~33477.8 tightened=33480.797 best=33490.458 acc=12 worse=7
  it=260000 t=5s T=0.050 cur~33478.0 tightened=33480.797 best=33490.458 acc=13 worse=7
  it=280000 t=5s T=0.050 cur~33478.0 tightened=33480.797 best=33490.458 acc=13 worse=7
  it=300000 t=5s T=0.050 cur~33478.0 tightened=33480.797 best=33490.458 acc=13 worse=7
  it=320000 t=6s T=0.050 cur~33479.0 tightened=33480.760 best=33490.458 acc=15 worse=8
  it=340000 t=6s T=0.050 cur~33479.0 tightened=33480.760 best=33490.458 acc=15 worse=8
  it=360000 t=7s T=0.050 cur~33479.0 tightened=33480.760 best=33490.458 acc=15 worse=8
  it=380000 t=7s T=0.050 cur~33479.8 tightened=33481.596 best=33490.458 acc=16 worse=8
  it=400000 t=7s T=0.050 cur~33479.8 tightened=33481.596 best=33490.458 acc=16 worse=8
  [reheat] T<-2.0 resume best=33490.458
  it=420000 t=8s T=0.271 cur~33475.7 tightened=33477.018 best=33490.458 acc=23 worse=15
  it=440000 t=8s T=0.050 cur~33479.0 tightened=33480.606 best=33490.458 acc=26 worse=16
  it=460000 t=9s T=0.050 cur~33479.0 tightened=33480.606 best=33490.458 acc=26 worse=16
  it=480000 t=9s T=0.050 cur~33479.0 tightened=33480.606 best=33490.458 acc=26 worse=16
  it=500000 t=9s T=0.050 cur~33479.0 tightened=33480.606 best=33490.458 acc=26 worse=16
  it=520000 t=10s T=0.050 cur~33479.0 tightened=33480.606 best=33490.458 acc=26 worse=16
  it=540000 t=10s T=0.050 cur~33479.9 tightened=33480.606 best=33490.458 acc=27 worse=16
  it=560000 t=11s T=0.050 cur~33484.5 tightened=33484.953 best=33490.458 acc=28 worse=16
  it=580000 t=11s T=0.050 cur~33485.7 tightened=33486.183 best=33490.458 acc=29 worse=16
  it=600000 t=11s T=0.050 cur~33486.2 tightened=33486.183 best=33490.458 acc=30 worse=16
  it=620000 t=11s T=0.050 cur~33486.2 tightened=33486.183 best=33490.458 acc=30 worse=16
  it=640000 t=12s T=0.050 cur~33486.2 tightened=33486.183 best=33490.458 acc=30 worse=16
  it=660000 t=12s T=0.050 cur~33490.5 tightened=33490.458 best=33490.458 acc=31 worse=16
  it=680000 t=12s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=700000 t=13s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=720000 t=13s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=740000 t=13s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=760000 t=14s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=780000 t=14s T=0.050 cur~33490.3 tightened=33490.458 best=33490.458 acc=32 worse=17
  it=800000 t=14s T=0.050 cur~33490.5 tightened=33490.458 best=33490.458 acc=33 worse=17
  [reheat] T<-2.0 resume best=33490.458
  it=820000 t=15s T=0.271 cur~33473.0 tightened=33479.882 best=33490.458 acc=38 worse=22
  it=840000 t=15s T=0.050 cur~33473.0 tightened=33479.882 best=33490.458 acc=38 worse=22
  it=860000 t=15s T=0.050 cur~33479.4 tightened=33479.882 best=33490.458 acc=40 worse=22
  it=880000 t=16s T=0.050 cur~33479.4 tightened=33479.882 best=33490.458 acc=40 worse=22
  it=900000 t=16s T=0.050 cur~33479.4 tightened=33479.882 best=33490.458 acc=40 worse=22
  it=920000 t=16s T=0.050 cur~33479.9 tightened=33479.882 best=33490.458 acc=41 worse=22
  it=940000 t=17s T=0.050 cur~33489.1 tightened=33489.054 best=33490.458 acc=43 worse=22
  it=960000 t=17s T=0.050 cur~33489.1 tightened=33489.054 best=33490.458 acc=43 worse=22
  it=980000 t=17s T=0.050 cur~33489.1 tightened=33489.054 best=33490.458 acc=43 worse=22
  it=1000000 t=17s T=0.050 cur~33489.1 tightened=33489.054 best=33490.458 acc=43 worse=22
  it=1020000 t=18s T=0.050 cur~33489.4 tightened=33490.458 best=33490.458 acc=44 worse=22
  it=1040000 t=18s T=0.050 cur~33489.4 tightened=33490.458 best=33490.458 acc=44 worse=22
  it=1060000 t=18s T=0.050 cur~33489.4 tightened=33490.458 best=33490.458 acc=44 worse=22
  it=1080000 t=19s T=0.050 cur~33489.4 tightened=33490.458 best=33490.458 acc=44 worse=22
  it=1100000 t=19s T=0.050 cur~33489.4 tightened=33490.458 best=33490.458 acc=44 worse=22
  it=1120000 t=19s T=0.050 cur~33489.4 tightened=33490.421 best=33490.458 acc=45 worse=23
  it=1140000 t=20s T=0.050 cur~33489.4 tightened=33490.421 best=33490.458 acc=45 worse=23
  it=1160000 t=20s T=0.050 cur~33489.4 tightened=33490.421 best=33490.458 acc=45 worse=23
  it=1180000 t=21s T=0.050 cur~33489.4 tightened=33490.421 best=33490.458 acc=45 worse=23
  it=1200000 t=21s T=0.050 cur~33489.4 tightened=33490.421 best=33490.458 acc=45 worse=23
  [reheat] T<-2.0 resume best=33490.458
  it=1220000 t=21s T=0.271 cur~33469.5 tightened=33483.092 best=33490.458 acc=54 worse=31
  it=1240000 t=22s T=0.050 cur~33469.5 tightened=33483.092 best=33490.458 acc=54 worse=31
  it=1260000 t=22s T=0.050 cur~33471.7 tightened=33482.822 best=33490.458 acc=55 worse=31
  it=1280000 t=22s T=0.050 cur~33473.5 tightened=33484.652 best=33490.458 acc=56 worse=31
  it=1300000 t=23s T=0.050 cur~33474.5 tightened=33474.854 best=33490.458 acc=58 worse=32
  it=1320000 t=23s T=0.050 cur~33482.5 tightened=33489.937 best=33490.458 acc=61 worse=32
  it=1340000 t=23s T=0.050 cur~33482.5 tightened=33489.937 best=33490.458 acc=61 worse=32
  it=1360000 t=24s T=0.050 cur~33482.5 tightened=33489.937 best=33490.458 acc=61 worse=32
  it=1380000 t=24s T=0.050 cur~33482.7 tightened=33490.151 best=33490.458 acc=62 worse=32
  it=1400000 t=24s T=0.050 cur~33483.5 tightened=33490.151 best=33490.458 acc=63 worse=32
  it=1420000 t=25s T=0.050 cur~33483.5 tightened=33490.151 best=33490.458 acc=63 worse=32
  it=1440000 t=25s T=0.050 cur~33483.5 tightened=33490.151 best=33490.458 acc=63 worse=32
  it=1460000 t=25s T=0.050 cur~33483.6 tightened=33490.151 best=33490.458 acc=64 worse=32
  it=1480000 t=26s T=0.050 cur~33483.6 tightened=33490.151 best=33490.458 acc=64 worse=32
  it=1500000 t=26s T=0.050 cur~33483.6 tightened=33490.151 best=33490.458 acc=64 worse=32
  it=1520000 t=26s T=0.050 cur~33483.6 tightened=33490.151 best=33490.458 acc=64 worse=32
  it=1540000 t=27s T=0.050 cur~33483.7 tightened=33490.188 best=33490.458 acc=65 worse=32
  it=1560000 t=27s T=0.050 cur~33483.7 tightened=33490.188 best=33490.458 acc=65 worse=32
  it=1580000 t=27s T=0.050 cur~33483.7 tightened=33490.188 best=33490.458 acc=65 worse=32
  it=1600000 t=28s T=0.050 cur~33483.7 tightened=33490.188 best=33490.458 acc=65 worse=32
  [reheat] T<-2.0 resume best=33490.458
  it=1620000 t=28s T=0.271 cur~33475.5 tightened=33487.459 best=33490.458 acc=75 worse=41
  it=1640000 t=28s T=0.050 cur~33483.3 tightened=33487.459 best=33490.458 acc=77 worse=41
  it=1660000 t=29s T=0.050 cur~33485.4 tightened=33487.673 best=33490.458 acc=79 worse=41
  it=1680000 t=29s T=0.050 cur~33486.3 tightened=33489.106 best=33490.458 acc=81 worse=41
  it=1700000 t=30s T=0.050 cur~33487.0 tightened=33489.106 best=33490.458 acc=82 worse=41
  it=1720000 t=30s T=0.050 cur~33487.0 tightened=33489.106 best=33490.458 acc=82 worse=41
  it=1740000 t=30s T=0.050 cur~33487.0 tightened=33489.106 best=33490.458 acc=82 worse=41
  it=1760000 t=31s T=0.050 cur~33487.7 tightened=33489.106 best=33490.458 acc=83 worse=41
  it=1780000 t=31s T=0.050 cur~33487.7 tightened=33489.106 best=33490.458 acc=83 worse=41
  it=1800000 t=31s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1820000 t=32s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1840000 t=32s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1860000 t=33s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1880000 t=33s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1900000 t=33s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1920000 t=34s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1940000 t=34s T=0.050 cur~33487.6 tightened=33489.069 best=33490.458 acc=84 worse=42
  it=1960000 t=34s T=0.050 cur~33489.1 tightened=33489.069 best=33490.458 acc=85 worse=42
  it=1980000 t=34s T=0.050 cur~33489.1 tightened=33489.069 best=33490.458 acc=85 worse=42
  it=2000000 t=35s T=0.050 cur~33489.1 tightened=33489.069 best=33490.458 acc=85 worse=42
  [reheat] T<-2.0 resume best=33490.458
  it=2020000 t=35s T=0.271 cur~33463.1 tightened=33482.639 best=33490.458 acc=93 worse=50
  it=2040000 t=35s T=0.050 cur~33469.0 tightened=33482.639 best=33490.458 acc=94 worse=50
  it=2060000 t=36s T=0.050 cur~33469.6 tightened=33482.639 best=33490.458 acc=95 worse=50
  it=2080000 t=36s T=0.050 cur~33472.6 tightened=33483.612 best=33490.458 acc=97 worse=50
  it=2100000 t=36s T=0.050 cur~33472.6 tightened=33485.153 best=33490.458 acc=98 worse=51
  it=2120000 t=37s T=0.050 cur~33472.6 tightened=33485.153 best=33490.458 acc=98 worse=51
  it=2140000 t=37s T=0.050 cur~33476.4 tightened=33488.142 best=33490.458 acc=99 worse=51
  it=2160000 t=37s T=0.050 cur~33476.8 tightened=33486.459 best=33490.458 acc=102 worse=52
  it=2180000 t=38s T=0.050 cur~33476.8 tightened=33486.459 best=33490.458 acc=102 worse=52
  it=2200000 t=38s T=0.050 cur~33476.8 tightened=33486.459 best=33490.458 acc=102 worse=52
  it=2220000 t=38s T=0.050 cur~33476.8 tightened=33486.459 best=33490.458 acc=102 worse=52
  it=2240000 t=39s T=0.050 cur~33477.4 tightened=33486.341 best=33490.458 acc=104 worse=53
  it=2260000 t=39s T=0.050 cur~33477.4 tightened=33486.341 best=33490.458 acc=104 worse=53
  it=2280000 t=40s T=0.050 cur~33478.2 tightened=33487.177 best=33490.458 acc=105 worse=53
  it=2300000 t=40s T=0.050 cur~33478.2 tightened=33485.636 best=33490.458 acc=106 worse=53
  it=2320000 t=40s T=0.050 cur~33483.3 tightened=33485.636 best=33490.458 acc=108 worse=53
  it=2340000 t=41s T=0.050 cur~33483.5 tightened=33485.850 best=33490.458 acc=109 worse=53
  it=2360000 t=41s T=0.050 cur~33483.5 tightened=33485.850 best=33490.458 acc=109 worse=53
  it=2380000 t=41s T=0.050 cur~33483.5 tightened=33485.850 best=33490.458 acc=109 worse=53
  it=2400000 t=42s T=0.050 cur~33483.5 tightened=33485.887 best=33490.458 acc=110 worse=53
  [reheat] T<-2.0 resume best=33490.458
  it=2420000 t=42s T=0.271 cur~33479.0 tightened=33485.321 best=33490.458 acc=117 worse=59
  it=2440000 t=42s T=0.050 cur~33479.0 tightened=33485.321 best=33490.458 acc=117 worse=59
  it=2460000 t=43s T=0.050 cur~33483.1 tightened=33486.789 best=33490.458 acc=119 worse=59
  it=2480000 t=43s T=0.050 cur~33484.0 tightened=33486.553 best=33490.458 acc=120 worse=59
  it=2500000 t=43s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2520000 t=44s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2540000 t=44s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2560000 t=45s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2580000 t=45s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2600000 t=45s T=0.050 cur~33486.9 tightened=33490.222 best=33490.458 acc=122 worse=59
  it=2620000 t=46s T=0.050 cur~33487.1 tightened=33490.458 best=33490.458 acc=123 worse=59
