error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s422] LP-rounded start=69503.05 sel=8589 | bank=73253.48 leader=73714.03 | random-destroy 0.3
[E-678 s422] best=70388.15 (+-2865.32 vs bank) it=0 acc=0 [1s]
[E-678 s422] best=70855.55 (+-2397.93 vs bank) it=1 acc=1 [1s]
[E-678 s422] best=71121.02 (+-2132.46 vs bank) it=2 acc=2 [2s]
[E-678 s422] best=71309.47 (+-1944.01 vs bank) it=3 acc=3 [2s]
[E-678 s422] best=71450.47 (+-1803.01 vs bank) it=4 acc=4 [3s]
[E-678 s422] best=71549.88 (+-1703.60 vs bank) it=5 acc=5 [3s]
[E-678 s422] best=71613.06 (+-1640.42 vs bank) it=6 acc=6 [4s]
[E-678 s422] best=71664.09 (+-1589.39 vs bank) it=7 acc=7 [4s]
[E-678 s422] best=71744.30 (+-1509.18 vs bank) it=8 acc=8 [5s]
[E-678 s422] best=71804.76 (+-1448.72 vs bank) it=9 acc=9 [5s]
[E-678 s422] best=71859.22 (+-1394.26 vs bank) it=10 acc=10 [6s]
[E-678 s422] best=71892.48 (+-1361.00 vs bank) it=11 acc=11 [6s]
[E-678 s422] best=71923.38 (+-1330.10 vs bank) it=12 acc=12 [7s]
[E-678 s422] best=71952.98 (+-1300.50 vs bank) it=13 acc=13 [7s]
[E-678 s422] best=71980.14 (+-1273.34 vs bank) it=14 acc=14 [8s]
[E-678 s422] best=71998.55 (+-1254.93 vs bank) it=15 acc=15 [8s]
[E-678 s422] best=72024.93 (+-1228.55 vs bank) it=16 acc=16 [9s]
[E-678 s422] best=72049.57 (+-1203.91 vs bank) it=17 acc=17 [9s]
[E-678 s422] best=72057.73 (+-1195.75 vs bank) it=18 acc=18 [10s]
[E-678 s422] best=72075.60 (+-1177.88 vs bank) it=19 acc=19 [10s]
[E-678 s422] best=72085.24 (+-1168.24 vs bank) it=20 acc=20 [11s]
[E-678 s422] best=72093.16 (+-1160.32 vs bank) it=21 acc=21 [11s]
[E-678 s422] best=72101.77 (+-1151.71 vs bank) it=22 acc=22 [12s]
[E-678 s422] best=72112.45 (+-1141.03 vs bank) it=23 acc=23 [12s]
