[E-758] re-solve v_inf-rank [192,222) transfers, restarts=8 (free TOF 2.2-52d)
  (E=50,L=51,D=47) v_inf=1506 bank_m=772 -> resolve VALID mass=774 (dv2 1115)  [745s]
  (E=327,L=18,D=268) v_inf=1506 bank_m=777 -> resolve VALID mass=755 (dv2 1168)  [1331s]
  (E=27,L=17,D=30) v_inf=1504 bank_m=720 -> resolve INVALID [1985s]
  (E=304,L=318,D=376) v_inf=1503 bank_m=825 -> resolve VALID mass=783 (dv2 1119)  [2686s]
  (E=90,L=117,D=83) v_inf=1501 bank_m=829 -> resolve VALID mass=773 (dv2 1137)  [3112s]
  (E=5,L=192,D=4) v_inf=1497 bank_m=861 -> resolve VALID mass=882 (dv2 864) <<WIN +21 [3649s]
  (E=308,L=319,D=288) v_inf=1492 bank_m=851 -> resolve VALID mass=787 (dv2 1143)  [4416s]
  (E=117,L=12,D=183) v_inf=1491 bank_m=856 -> resolve VALID mass=774 (dv2 1240)  [5007s]
  (E=135,L=123,D=174) v_inf=1488 bank_m=844 -> resolve VALID mass=744 (dv2 1315)  [5484s]
  (E=30,L=211,D=120) v_inf=1477 bank_m=831 -> resolve VALID mass=976 (dv2 740) <<WIN +145 [6050s]
  (E=126,L=286,D=114) v_inf=1473 bank_m=846 -> resolve INVALID [6892s]
  (E=111,L=331,D=398) v_inf=1473 bank_m=887 -> resolve VALID mass=870 (dv2 1096)  [7753s]
  (E=64,L=170,D=60) v_inf=1469 bank_m=843 -> resolve INVALID [8411s]
  (E=182,L=322,D=159) v_inf=1467 bank_m=900 -> resolve VALID mass=923 (dv2 1018) <<WIN +23 [9313s]
  (E=171,L=195,D=149) v_inf=1466 bank_m=841 -> resolve VALID mass=840 (dv2 1113)  [10353s]
  (E=240,L=386,D=234) v_inf=1462 bank_m=797 -> resolve VALID mass=837 (dv2 1095) <<WIN +40 [11059s]
  (E=307,L=78,D=280) v_inf=1460 bank_m=801 -> resolve VALID mass=794 (dv2 1112)  [11708s]
  (E=280,L=161,D=232) v_inf=1456 bank_m=1954 -> resolve VALID mass=713 (dv2 1209)  [11950s]
