[E-758] re-solve v_inf-rank [222,252) transfers, restarts=8 (free TOF 2.2-52d)
  (E=348,L=147,D=278) v_inf=1371 bank_m=774 -> resolve VALID mass=729 (dv2 1220)  [486s]
  (E=159,L=291,D=139) v_inf=1370 bank_m=831 -> resolve VALID mass=965 (dv2 837) <<WIN +134 [1067s]
  (E=106,L=267,D=97) v_inf=1364 bank_m=765 -> resolve VALID mass=722 (dv2 1157)  [1480s]
  (E=49,L=162,D=46) v_inf=1364 bank_m=778 -> resolve VALID mass=809 (dv2 1033) <<WIN +32 [2058s]
  (E=273,L=61,D=225) v_inf=1353 bank_m=1894 -> resolve VALID mass=1895 (dv2 1070)  [2504s]
  (E=15,L=201,D=31) v_inf=1328 bank_m=823 -> resolve VALID mass=952 (dv2 910) <<WIN +129 [3063s]
  (E=70,L=154,D=66) v_inf=1324 bank_m=921 -> resolve VALID mass=866 (dv2 868)  [3708s]
  (E=259,L=276,D=209) v_inf=1324 bank_m=834 -> resolve VALID mass=791 (dv2 1249)  [4391s]
  (E=93,L=303,D=386) v_inf=1320 bank_m=857 -> resolve VALID mass=755 (dv2 1221)  [5171s]
  (E=142,L=258,D=126) v_inf=1316 bank_m=787 -> resolve VALID mass=896 (dv2 1052) <<WIN +109 [5730s]
  (E=394,L=106,D=347) v_inf=1305 bank_m=794 -> resolve VALID mass=777 (dv2 1161)  [6421s]
  (E=218,L=293,D=179) v_inf=1302 bank_m=920 -> resolve VALID mass=956 (dv2 954) <<WIN +35 [6799s]
  (E=329,L=7,D=271) v_inf=1295 bank_m=873 -> resolve INVALID [7412s]
  (E=169,L=253,D=145) v_inf=1295 bank_m=789 -> resolve VALID mass=616 (dv2 1501)  [8155s]
  (E=65,L=223,D=61) v_inf=1293 bank_m=879 -> resolve INVALID [8652s]
  (E=127,L=5,D=116) v_inf=1283 bank_m=901 -> resolve INVALID [9255s]
  (E=123,L=146,D=25) v_inf=1280 bank_m=837 -> resolve VALID mass=712 (dv2 1225)  [9991s]
  (E=188,L=239,D=162) v_inf=1273 bank_m=856 -> resolve VALID mass=1016 (dv2 790) <<WIN +160 [10642s]
  (E=392,L=394,D=344) v_inf=1268 bank_m=796 -> resolve VALID mass=900 (dv2 826) <<WIN +103 [11075s]
  (E=187,L=16,D=161) v_inf=1264 bank_m=792 -> resolve VALID mass=780 (dv2 1126)  [11807s]
