[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[250,700] 5000s seed29
[E-756rr] it50: cur 33488.013 best 33490.458 (+0.000) T=2.926 acc49 [2s]
[E-756rr] it100: cur 33488.073 best 33490.458 (+0.000) T=2.854 acc98 [3s]
[E-756rr] it150: cur 33488.073 best 33490.458 (+0.000) T=2.783 acc148 [4s]
[E-756rr] it200: cur 33487.844 best 33490.458 (+0.000) T=2.714 acc196 [6s]
[E-756rr] it250: cur 33487.605 best 33490.458 (+0.000) T=2.647 acc246 [7s]
[E-756rr] it300: cur 33487.605 best 33490.458 (+0.000) T=2.582 acc295 [9s]
[E-756rr] it350: cur 33487.605 best 33490.458 (+0.000) T=2.518 acc345 [10s]
[E-756rr] it400: cur 33486.853 best 33490.458 (+0.000) T=2.456 acc394 [12s]
[E-756rr] it450: cur 33486.484 best 33490.458 (+0.000) T=2.395 acc444 [13s]
[E-756rr] it500: cur 33487.605 best 33490.458 (+0.000) T=2.336 acc494 [15s]
[E-756rr] it550: cur 33487.376 best 33490.458 (+0.000) T=2.279 acc542 [16s]
[E-756rr] it600: cur 33487.605 best 33490.458 (+0.000) T=2.222 acc591 [18s]
[E-756rr] it650: cur 33487.605 best 33490.458 (+0.000) T=2.167 acc640 [20s]
[E-756rr] it700: cur 33487.376 best 33490.458 (+0.000) T=2.114 acc689 [21s]
[E-756rr] it750: cur 33486.484 best 33490.458 (+0.000) T=2.062 acc739 [23s]
[E-756rr] it800: cur 33486.713 best 33490.458 (+0.000) T=2.011 acc787 [24s]
[E-756rr] it850: cur 33486.484 best 33490.458 (+0.000) T=1.961 acc837 [26s]
[E-756rr] it900: cur 33486.484 best 33490.458 (+0.000) T=1.913 acc886 [28s]
[E-756rr] it950: cur 33486.853 best 33490.458 (+0.000) T=1.865 acc935 [29s]
[E-756rr] it1000: cur 33486.713 best 33490.458 (+0.000) T=1.819 acc985 [31s]
[E-756rr] it1050: cur 33486.713 best 33490.458 (+0.000) T=1.774 acc1035 [32s]
[E-756rr] it1100: cur 33486.484 best 33490.458 (+0.000) T=1.731 acc1084 [34s]
[E-756rr] it1150: cur 33486.713 best 33490.458 (+0.000) T=1.688 acc1133 [35s]
[E-756rr] it1200: cur 33486.713 best 33490.458 (+0.000) T=1.646 acc1183 [37s]
[E-756rr] it1250: cur 33486.713 best 33490.458 (+0.000) T=1.606 acc1232 [38s]
[E-756rr] it1300: cur 33486.484 best 33490.458 (+0.000) T=1.566 acc1279 [40s]
[E-756rr] it1350: cur 33486.484 best 33490.458 (+0.000) T=1.527 acc1328 [41s]
[E-756rr] it1400: cur 33486.484 best 33490.458 (+0.000) T=1.489 acc1377 [43s]
[E-756rr] it1450: cur 33486.484 best 33490.458 (+0.000) T=1.453 acc1427 [44s]
[E-756rr] it1500: cur 33486.713 best 33490.458 (+0.000) T=1.417 acc1476 [46s]
[E-756rr] it1550: cur 33486.853 best 33490.458 (+0.000) T=1.382 acc1524 [47s]
[E-756rr] it1600: cur 33486.853 best 33490.458 (+0.000) T=1.348 acc1572 [49s]
[E-756rr] it1650: cur 33486.484 best 33490.458 (+0.000) T=1.314 acc1620 [51s]
[E-756rr] it1700: cur 33485.860 best 33490.458 (+0.000) T=1.282 acc1669 [52s]
[E-756rr] it1750: cur 33486.000 best 33490.458 (+0.000) T=1.250 acc1719 [54s]
[E-756rr] it1800: cur 33486.000 best 33490.458 (+0.000) T=1.219 acc1768 [55s]
[E-756rr] it1850: cur 33486.713 best 33490.458 (+0.000) T=1.189 acc1816 [57s]
[E-756rr] it1900: cur 33486.484 best 33490.458 (+0.000) T=1.160 acc1866 [58s]
[E-756rr] it1950: cur 33486.624 best 33490.458 (+0.000) T=1.131 acc1915 [60s]
[E-756rr] it2000: cur 33486.663 best 33490.458 (+0.000) T=1.103 acc1965 [61s]
[E-756rr] it2050: cur 33485.590 best 33490.458 (+0.000) T=1.076 acc2014 [63s]
[E-756rr] it2100: cur 33486.443 best 33490.458 (+0.000) T=1.050 acc2064 [64s]
[E-756rr] it2150: cur 33486.443 best 33490.458 (+0.000) T=1.024 acc2113 [66s]
[E-756rr] it2200: cur 33485.361 best 33490.458 (+0.000) T=0.998 acc2161 [67s]
[E-756rr] it2250: cur 33486.214 best 33490.458 (+0.000) T=0.974 acc2209 [69s]
[E-756rr] it2300: cur 33486.443 best 33490.458 (+0.000) T=0.950 acc2259 [70s]
[E-756rr] it2350: cur 33486.214 best 33490.458 (+0.000) T=0.926 acc2307 [72s]
[E-756rr] it2400: cur 33485.770 best 33490.458 (+0.000) T=0.903 acc2355 [73s]
[E-756rr] it2450: cur 33485.999 best 33490.458 (+0.000) T=0.881 acc2404 [75s]
[E-756rr] it2500: cur 33484.917 best 33490.458 (+0.000) T=0.859 acc2452 [76s]
[E-756rr] it2550: cur 33485.146 best 33490.458 (+0.000) T=0.838 acc2502 [78s]
[E-756rr] it2600: cur 33484.917 best 33490.458 (+0.000) T=0.817 acc2552 [80s]
[E-756rr] it2650: cur 33486.384 best 33490.458 (+0.000) T=0.797 acc2601 [81s]
[E-756rr] it2700: cur 33486.384 best 33490.458 (+0.000) T=0.777 acc2650 [83s]
[E-756rr] it2750: cur 33486.384 best 33490.458 (+0.000) T=0.758 acc2700 [85s]
[E-756rr] it2800: cur 33486.384 best 33490.458 (+0.000) T=0.740 acc2747 [86s]
[E-756rr] it2850: cur 33486.384 best 33490.458 (+0.000) T=0.721 acc2791 [88s]
[E-756rr] it2900: cur 33486.155 best 33490.458 (+0.000) T=0.703 acc2835 [89s]
[E-756rr] it2950: cur 33486.155 best 33490.458 (+0.000) T=0.686 acc2884 [91s]
[E-756rr] it3000: cur 33485.531 best 33490.458 (+0.000) T=0.669 acc2932 [92s]
[E-756rr] it3050: cur 33485.531 best 33490.458 (+0.000) T=0.653 acc2977 [94s]
[E-756rr] it3100: cur 33485.302 best 33490.458 (+0.000) T=0.636 acc3025 [95s]
[E-756rr] it3150: cur 33485.531 best 33490.458 (+0.000) T=0.621 acc3073 [97s]
[E-756rr] it3200: cur 33485.531 best 33490.458 (+0.000) T=0.605 acc3120 [98s]
[E-756rr] it3250: cur 33485.671 best 33490.458 (+0.000) T=0.590 acc3169 [100s]
[E-756rr] it3300: cur 33485.531 best 33490.458 (+0.000) T=0.576 acc3215 [101s]
[E-756rr] it3350: cur 33485.302 best 33490.458 (+0.000) T=0.562 acc3264 [103s]
[E-756rr] it3400: cur 33485.531 best 33490.458 (+0.000) T=0.548 acc3313 [105s]
[E-756rr] it3450: cur 33486.384 best 33490.458 (+0.000) T=0.534 acc3363 [106s]
[E-756rr] it3500: cur 33485.302 best 33490.458 (+0.000) T=0.521 acc3412 [108s]
[E-756rr] it3550: cur 33485.531 best 33490.458 (+0.000) T=0.508 acc3459 [109s]
[E-756rr] it3600: cur 33485.302 best 33490.458 (+0.000) T=0.496 acc3508 [111s]
[E-756rr] it3650: cur 33486.155 best 33490.458 (+0.000) T=0.483 acc3557 [112s]
[E-756rr] it3700: cur 33486.155 best 33490.458 (+0.000) T=0.471 acc3602 [114s]
[E-756rr] it3750: cur 33486.384 best 33490.458 (+0.000) T=0.460 acc3651 [115s]
[E-756rr] it3800: cur 33486.155 best 33490.458 (+0.000) T=0.448 acc3700 [117s]
[E-756rr] it3850: cur 33486.384 best 33490.458 (+0.000) T=0.437 acc3747 [118s]
[E-756rr] it3900: cur 33486.384 best 33490.458 (+0.000) T=0.427 acc3794 [120s]
[E-756rr] it3950: cur 33486.384 best 33490.458 (+0.000) T=0.416 acc3842 [121s]
[E-756rr] it4000: cur 33486.155 best 33490.458 (+0.000) T=0.406 acc3889 [123s]
[E-756rr] it4050: cur 33486.384 best 33490.458 (+0.000) T=0.396 acc3935 [125s]
[E-756rr] it4100: cur 33485.302 best 33490.458 (+0.000) T=0.386 acc3984 [126s]
[E-756rr] it4150: cur 33485.302 best 33490.458 (+0.000) T=0.376 acc4033 [128s]
[E-756rr] it4200: cur 33484.377 best 33490.458 (+0.000) T=0.367 acc4081 [130s]
[E-756rr] it4250: cur 33485.459 best 33490.458 (+0.000) T=0.358 acc4129 [131s]
[E-756rr] it4300: cur 33485.230 best 33490.458 (+0.000) T=0.349 acc4179 [133s]
[E-756rr] it4350: cur 33485.459 best 33490.458 (+0.000) T=0.341 acc4225 [134s]
[E-756rr] it4400: cur 33485.459 best 33490.458 (+0.000) T=0.332 acc4273 [136s]
[E-756rr] it4450: cur 33485.459 best 33490.458 (+0.000) T=0.324 acc4319 [137s]
[E-756rr] it4500: cur 33485.459 best 33490.458 (+0.000) T=0.316 acc4364 [139s]
