[E-701 FILL] restarts=5 gen=180 shard=0/3
[E-701 FILL] 74 matched empty-slot triples (|iE-iL| range 0.013..1.179 rad)
[PC] easiest (301,32) -> official dv=4183 mass=570 OK
  [1/25] FILL (301,32,d367) |di|=0.013 -> dv=4194 mass=570 kg [357s]
  [2/25] FILL (156,83,d342) |di|=0.199 -> dv=5355 mass=129 kg [721s]
  [3/25] (344,88) |di|=0.255 -> no valid transfer [1033s]
  [4/25] FILL (192,353,d352) |di|=0.419 -> dv=3726 mass=974 kg [1438s]
  [5/25] FILL (181,369,d349) |di|=0.479 -> dv=4243 mass=110 kg [1630s]
  [6/25] FILL (85,321,d329) |di|=0.535 -> dv=4370 mass=239 kg [1901s]
  [7/25] FILL (157,365,d343) |di|=0.571 -> dv=4395 mass=504 kg [2287s]
  [8/25] FILL (107,309,d332) |di|=0.606 -> dv=4387 mass=522 kg [2557s]
  [9/25] FILL (322,93,d375) |di|=0.648 -> dv=4300 mass=277 kg [2921s]
  [10/25] FILL (239,302,d363) |di|=0.682 -> dv=5072 mass=225 kg [3064s]
  [11/25] FILL (242,145,d364) |di|=0.693 -> dv=5685 mass=133 kg [3419s]
  [12/25] FILL (137,382,d339) |di|=0.728 -> dv=4277 mass=730 kg [3713s]
  [13/25] FILL (110,387,d333) |di|=0.793 -> dv=3620 mass=1026 kg [4039s]
  [14/25] FILL (149,49,d340) |di|=0.829 -> dv=4153 mass=4 kg [4314s]
  [15/25] FILL (224,113,d359) |di|=0.851 -> dv=4711 mass=567 kg [4575s]
  [16/25] FILL (196,68,d353) |di|=0.867 -> dv=4018 mass=839 kg [4892s]
  [17/25] FILL (124,11,d337) |di|=0.902 -> dv=4180 mass=249 kg [5206s]
  [18/25] FILL (185,54,d350) |di|=0.915 -> dv=4737 mass=558 kg [5471s]
  [19/25] (165,2) |di|=0.953 -> no valid transfer [5731s]
  [20/25] FILL (317,29,d371) |di|=0.981 -> dv=4782 mass=449 kg [6036s]
  [21/25] FILL (319,114,d373) |di|=1.013 -> dv=4637 mass=593 kg [6313s]
  [22/25] (352,52) |di|=1.022 -> no valid transfer [6523s]
  [23/25] FILL (82,46,d326) |di|=1.032 -> dv=4340 mass=3 kg [7005s]
  [24/25] FILL (318,348,d372) |di|=1.101 -> dv=4593 mass=609 kg [7356s]
  [25/25] FILL (302,372,d368) |di|=1.174 -> dv=4754 mass=552 kg [7500s]

[E-701 FILL] shard 0 DONE: 22 slots filled, +9862 kg [7500s]
