error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s32] LP-rounded start=69503.05 sel=8589 | bank=73253.48 leader=73714.03 | random-destroy 0.4
[E-678 s32] best=70917.11 (+-2336.37 vs bank) it=0 acc=0 [2s]
[E-678 s32] best=71367.59 (+-1885.89 vs bank) it=1 acc=1 [4s]
[E-678 s32] best=71620.41 (+-1633.07 vs bank) it=2 acc=2 [5s]
[E-678 s32] best=71839.40 (+-1414.08 vs bank) it=3 acc=3 [7s]
[E-678 s32] best=71927.98 (+-1325.50 vs bank) it=4 acc=4 [8s]
[E-678 s32] best=71991.07 (+-1262.41 vs bank) it=5 acc=5 [11s]
[E-678 s32] best=72035.34 (+-1218.14 vs bank) it=6 acc=6 [13s]
[E-678 s32] best=72082.50 (+-1170.98 vs bank) it=7 acc=7 [15s]
[E-678 s32] best=72131.29 (+-1122.19 vs bank) it=8 acc=8 [16s]
[E-678 s32] best=72170.73 (+-1082.75 vs bank) it=9 acc=9 [17s]
[E-678 s32] best=72209.79 (+-1043.69 vs bank) it=10 acc=10 [19s]
[E-678 s32] best=72243.53 (+-1009.95 vs bank) it=11 acc=11 [20s]
[E-678 s32] best=72264.80 (+-988.68 vs bank) it=12 acc=12 [22s]
[E-678 s32] best=72296.68 (+-956.80 vs bank) it=13 acc=13 [23s]
[E-678 s32] best=72311.48 (+-942.00 vs bank) it=14 acc=14 [25s]
[E-678 s32] best=72324.59 (+-928.89 vs bank) it=15 acc=15 [26s]
[E-678 s32] best=72333.11 (+-920.37 vs bank) it=16 acc=16 [27s]
[E-678 s32] best=72339.06 (+-914.42 vs bank) it=17 acc=17 [29s]
[E-678 s32] best=72360.98 (+-892.50 vs bank) it=18 acc=18 [30s]
[E-678 s32] best=72384.43 (+-869.05 vs bank) it=19 acc=19 [32s]
[E-678 s32] best=72401.95 (+-851.53 vs bank) it=20 acc=20 [33s]
[E-678 s32] best=72415.75 (+-837.73 vs bank) it=21 acc=21 [34s]
[E-678 s32] best=72429.43 (+-824.05 vs bank) it=22 acc=22 [36s]
[E-678 s32] best=72445.03 (+-808.45 vs bank) it=23 acc=23 [37s]
